"","Total (%)","Round 1","Round 2","Round 3","Round 4"
"Sex","","","","",""
"Female","3353 (64)","3 (2-4.75)","2 (2-6)","3 (2-6)","2 (2-6)"
"Male","1879 (36)","3 (1-4)","2 (2-6)","2.5 (2-6)","2 (2-6)"
"Not reported","7 (0)","2 (1.5-2.5)","1 (1-1)",NA,NA
"Age Group","","","","",""
"20-29","1393 (27)","3 (1-4)","2 (2-4)","3 (2-6)","2 (2-4)"
"30-39","1475 (28)","2 (1-4)","2 (1-4)","2 (1-4)","3 (2-6)"
"40-49","1327 (25)","3.5 (2-5)","4 (2-6)","4 (2-6)","4 (2-6)"
"50-59","801 (15)","3 (2-4)","4 (2-6)","4 (2-6)","4 (2-6)"
"60+","243 (5)","4 (2-4)","2 (2-6)","2 (1-2.25)","2 (2-5)"
"Family structure","","","","",""
"Alone","578 (11)","3 (2.75-3.5)","1 (1-2)","2 (1-4)","2 (1-4)"
"Extended","636 (12)","4 (2-6)","4 (3-6)","4 (2.75-6.25)","4 (2-6)"
"Nuclear","3476 (66)","2 (1-4)","2 (2-6)","3 (2-6)","3 (2-6)"
"Other","80 (2)","3 (2-6)","4 (1.75-6.5)","2 (1.5-3)","4 (4-4)"
"Roommates","469 (9)","3 (2-5)","2 (2-4)","2 (2-4)","3.5 (2-5.75)"
"Location of contact","","","","",""
"Community","1319 (27)","4 (2-5)","4 (2-8)","4 (2.5-8)","4 (2-7)"
"Home","3005 (61)","3 (1-4)","4 (2-6)","3 (2-6)","2 (2-4)"
"Work","630 (13)","9 (8-15)","5 (3-6)","6.5 (4-11.25)","6.5 (4-10.5)"
"11","NA (NA)",NA,"1 (1-1)","1 (1-1)","1 (1-1)"
"Company","","","","",""
"Accenture","1905 (36)","3 (2-4.25)","2 (2-4)","3 (1.5-6)","2 (2-6)"
"Emory","141 (3)","3 (2-4)","4 (2-6)","3 (1-4)","4 (2-6)"
"Emory 1599","489 (9)","3 (1-5)","4 (2-6)","3 (2-5)","2 (2-5)"
"Guidehouse","1618 (31)",NA,"2 (2-6.5)","2 (1-2)","4 (3.5-6)"
"Integral","87 (2)",NA,"2 (2-6)","4 (2-8)","2 (1-6)"
"Perkins & Will","999 (19)",NA,NA,NA,NA
"Race","","","","",""
"Black","501 (10)","3 (2-4.5)","2 (2-5.75)","2 (1-5)","3 (1.5-4)"
"White","3308 (63)","3 (1-4)","2 (2-6)","3 (2-6)","3 (2-6)"
"Asian","1085 (21)","3 (1.5-4)","2 (1-6)","3 (2-6)","2 (2-6)"
"Mixed","188 (4)","3 (2-5)","2 (1-4)","2 (1-2)","3 (2-5.5)"
"Other1","157 (3)","3 (2-4)","4 (2-4)","2 (2-4)",NA
"Hispanic","","","","",""
"No","4879 (93)","3 (1-4)","2 (2-6)","3 (2-6)","2 (2-6)"
"Yes","360 (7)","4.5 (3-5)","3 (2-6)","3.5 (1-4)","2 (2-6)"
